analysis_id,ka9yf20p81owfbu
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
gene_symbol,Mov10
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
pvalue,0.1861695
mouse_strain,C57BL
