gene_symbol,Orc2
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Center average speed
analysis_id,i83v6ix27917czh
pvalue,0.6959721
gene_accession_id,MGI:1328306
parameter_id,JAXLA_OFD_017_001
