gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
analysis_id,q2j81ab87a7tp2g
pvalue,0
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
parameter_name,Ly6Clow monocyte number
mouse_strain,C57BL
