analysis_id,p31c755seugz94g
gene_accession_id,MGI:1346088
parameter_name,Monocyte percentage
gene_symbol,Cd52
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
pvalue,0.1415339
