analysis_id,sq069pcxa17w1o9
gene_accession_id,MGI:1921688
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Early adult
pvalue,0.4005507
gene_symbol,Clvs1
parameter_id,MGP_MLN_010_001
mouse_strain,C57BL
