analysis_id,3p5mimq396807to
pvalue,0.9210594
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913506
parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
gene_symbol,Ssr2
