parameter_name,lens opacity
gene_symbol,Cds2
pvalue,0.8817139
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1332236
analysis_id,331um1ni5yz35gq
