analysis_id,tudmj1l9wd9m9pc
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
pvalue,0.3976171
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
