analysis_id,390f6733g2ha4o0
parameter_name,Center permanence time
gene_symbol,Bmp7
mouse_strain,C57BL
parameter_id,IMPC_OFD_016_001
pvalue,0.5915317
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
