gene_symbol,Kdm5b
pvalue,0.1940604
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
analysis_id,9q3x3q438t7j269
parameter_name,Red blood cell count
