gene_symbol,Inpp1
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:104848
pvalue,0.2517098
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Startle response
analysis_id,o6f92154c7t8m0f
