gene_symbol,Extl1
analysis_id,1jseiotg5j8vn8y
mouse_strain,C57BL
pvalue,0.7753946
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
parameter_name,PQ
parameter_id,IMPC_ECG_005_001
