gene_symbol,Nucks1
pvalue,0.7289194
parameter_id,MGP_PBI_009_001
mouse_strain,C57BL
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
analysis_id,7frg3g22jy76j18
