parameter_id,IMPC_GPP_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
pvalue,0.3778758
mouse_strain,C57BL
analysis_id,mu127f3j7eo1nox
parameter_name,Placenta Size
gene_symbol,Arnt
