parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_011_001_702
pvalue,0.1239459
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
analysis_id,1905i97zc1866t5
