gene_symbol,Ilkap
pvalue,0.3511481
parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:1914694
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,70rw656zaaikon2
