parameter_name,Body Weight
mouse_strain,C57BL
pvalue,0.3975147
gene_accession_id,MGI:1915325
parameter_id,M-G-P_012_001_005
analysis_id,8fz37b2pe8936n5
gene_symbol,Lurap1
mouse_life_stage,Early adult
