parameter_name,Glucose
analysis_id,7y57ofxl2i1s08d
gene_symbol,Cisd2
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
pvalue,0.2751228
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
