analysis_id,5he3ln6evq8rz1y
pvalue,0.6087371
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:1276578
parameter_name,NK Subsets (Q2)
gene_symbol,Gfi1b
mouse_strain,C57BL
mouse_life_stage,Early adult
