gene_symbol,Duoxa2
mouse_life_stage,Early adult
parameter_name,B2B Cells
mouse_strain,C57BL
pvalue,0.2114648
analysis_id,b39jcm710bkl836
gene_accession_id,MGI:1914061
parameter_id,IMPC_IMM_065_001
