analysis_id,kf316440rsf4i01
pvalue,0.8916879
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
mouse_strain,C57BL
parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
