parameter_name,Hindlimbs - size
gene_symbol,Toporsl
pvalue,0.5656262
mouse_strain,C57BL
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_022_001
analysis_id,ef13bdj9ie64u71
