analysis_id,h2r1l7c8q944h81
mouse_life_stage,Early adult
parameter_name,Whole arena resting time
pvalue,1.438907
gene_accession_id,MGI:1924360
parameter_id,HRWLLA_OFD_007_001
mouse_strain,C57BL
gene_symbol,Gpbp1l1
