gene_symbol,Hspa5
pvalue,0.2775187
parameter_id,JAXLA_CSD_007_001
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
analysis_id,vbh084p6284727w
mouse_strain,C57BL
