analysis_id,14jl70773a15la5
mouse_strain,C57BL
parameter_id,JAX_OFD_009_001
parameter_name,Whole arena average speed
mouse_life_stage,E9.5
gene_symbol,Ints7
gene_accession_id,MGI:1924315
pvalue,0.5023338
