parameter_name,Placenta Morphology
gene_symbol,Ssr2
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
analysis_id,5bh34z407ag4an6
pvalue,0.8646104
mouse_strain,C57BL
gene_accession_id,MGI:1913506
