gene_symbol,Trdmt1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1274787
parameter_id,M-G-P_026_001_004
pvalue,0.6307217
analysis_id,53p47tyep6n27kq
parameter_name,Coat colouration
