gene_symbol,Cmpk1
analysis_id,cvf46g7bi39f5ro
gene_accession_id,MGI:1913838
mouse_strain,C57BL
parameter_id,MGP_MLN_032_001
pvalue,0.7414476
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of NK cells
