parameter_name,Light side time spent
gene_accession_id,MGI:3616086
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kcng1
analysis_id,ejt5jbq72yt5u50
pvalue,0.9738834
