analysis_id,25z48n58u510h4n
mouse_strain,C57BL
pvalue,0.1577755
gene_accession_id,MGI:1915472
parameter_name,Right total retinal thickness
gene_symbol,Tubb4b
parameter_id,IMPC_EYE_062_001
mouse_life_stage,Early adult
