analysis_id,248ba2hifnz7mqq
mouse_strain,C57BL
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
gene_symbol,Tnfsf8
pvalue,1.477291
