parameter_name,Cornea
gene_accession_id,MGI:1860103
gene_symbol,Slc2a8
analysis_id,653u1r5d3v3bm6m
pvalue,0.3413199
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Early adult
