analysis_id,4v275848a2c4pv0
gene_accession_id,MGI:1915325
mouse_strain,C57BL
parameter_id,IMPC_EYE_056_001
gene_symbol,Lurap1
mouse_life_stage,Early adult
pvalue,0.2382078
parameter_name,Mean left eye lens density
