parameter_name,Lens Opacity
mouse_life_stage,Early adult
pvalue,0.06032792
gene_accession_id,MGI:1915848
analysis_id,efc9a11o3c14i0o
gene_symbol,Dnajc8
parameter_id,IMPC_EYE_017_001
mouse_strain,C57BL
