parameter_name,Alkaline phosphatase
analysis_id,0y3zb189j501s58
mouse_life_stage,E12.5
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.2592355
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
