analysis_id,3so5687a6mp31wr
mouse_life_stage,Early adult
parameter_id,MGP_IMM_112_001
gene_symbol,Tox
gene_accession_id,MGI:2181659
pvalue,0.6732734
mouse_strain,C57BL
parameter_name,Follicular B cells - % of CD45+
