analysis_id,9u218887cl5a11o
pvalue,0.8758712
parameter_id,MGP_PBI_014_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
parameter_name,B cell percentage
gene_symbol,Tbl1xr1
mouse_strain,C57BL
