parameter_id,JAXLA_CBC_015_001
gene_accession_id,MGI:1914309
pvalue,0.1898743
gene_symbol,Ola1
mouse_strain,C57BL
parameter_name,Total cholesterol
analysis_id,859ej8oe64h78q1
mouse_life_stage,Early adult
