parameter_name,Triglycerides
mouse_strain,C57BL
analysis_id,5d0kr697178l702
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:2441730
pvalue,0.6134318
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
