parameter_name,CD8 CD44+CD62L- T cells
analysis_id,854k43rzj1463mr
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_001
pvalue,0.09079822
mouse_life_stage,Early adult
