mouse_life_stage,E12.5
parameter_id,IMPC_CSD_078_001
pvalue,0.1599744
analysis_id,6kc336041311k91
parameter_name,Vocalization
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
