gene_symbol,Ufc1
parameter_id,MGP_PBI_010_001
pvalue,0.238941
mouse_life_stage,Early adult
analysis_id,c5uwuh0zdtb6y8r
gene_accession_id,MGI:1913405
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
