analysis_id,q401tcr8wrs7v3s
mouse_strain,C57BL
parameter_name,Spleen weight
pvalue,0.277547
gene_symbol,Bcs1l
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
parameter_id,UCD_OWT_003_001
