parameter_id,JAX_LDT_002_001
gene_symbol,Ap5s1
mouse_strain,C57BL
parameter_name,Light side time spent
gene_accession_id,MGI:1916846
pvalue,0.4815465
mouse_life_stage,Early adult
analysis_id,02d339cthdnu0vf
