parameter_name,eye size
pvalue,0.7702681
parameter_id,ESLIM_001_001_117
gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_strain,C57BL
analysis_id,8939443ud7ba00t
mouse_life_stage,Early adult
