analysis_id,4oo2204z1wo9213
mouse_life_stage,Early adult
pvalue,0.69218
parameter_name,IgD+ mature B cell percentage
gene_accession_id,MGI:1913284
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
gene_symbol,Psmd14
