analysis_id,z718785n634h3ft
mouse_life_stage,Early adult
pvalue,0.09126251
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
