gene_symbol,Cds2
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:1332236
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.1267308
analysis_id,2b2l7mdo33x001b
parameter_name,Ly6Clow monocyte number
