analysis_id,c0ovwlm5a38kvfn
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
parameter_name,Snout size
gene_symbol,Ntmt2
mouse_life_stage,Early adult
pvalue,0.8846163
gene_accession_id,MGI:2685053
