analysis_id,1zb5g0hpf8084aj
parameter_name,Transitional 1 B cells - % of CD45+
gene_accession_id,MGI:1925049
pvalue,0.8010906
mouse_strain,C57BL
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
gene_symbol,Sla2
