analysis_id,zatjdbt84519smb
pvalue,0.8823428
gene_symbol,Lcn2
parameter_name,Thoracic processes
gene_accession_id,MGI:96757
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_064_001
