analysis_id,ek0z5ivg2ldjw87
gene_symbol,Dnajc8
parameter_name,Distance travelled - total
gene_accession_id,MGI:1915848
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5805376
