analysis_id,v764cv81e7us90f
mouse_strain,C57BL
parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
pvalue,0.5104712
parameter_name,Hindlimbs - size
