parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
pvalue,0.1020825
analysis_id,6g94388ey1376ef
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
parameter_id,M-G-P_007_001_008
