parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
gene_symbol,Cpa3
pvalue,0.2301568
analysis_id,to4781rfn8t8ge5
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
