analysis_id,4b79l0t195w3c5p
mouse_strain,C57BL
gene_symbol,Hpca
pvalue,0.4440084
parameter_name,Cornea
mouse_life_stage,Late adult
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:1336200
