gene_symbol,Abo
parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2135738
analysis_id,1100743240g6c99
pvalue,0.5245103
parameter_name,Contact righting
