analysis_id,d96938408c66sc9
gene_symbol,Snap23
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:109356
pvalue,0.7742968
