parameter_name,Whole arena resting time
mouse_strain,C57BL
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_id,HRWLLA_OFD_007_001
mouse_life_stage,Early adult
pvalue,0.1868622
analysis_id,as7h2697dsre821
