parameter_id,IMPC_EYE_092_002
mouse_life_stage,Early adult
parameter_name,Retina (combined)
analysis_id,316e6sk4xwt346x
gene_accession_id,MGI:108072
mouse_strain,C57BL
gene_symbol,Traf6
pvalue,0.4535177
