analysis_id,6lwwh7os8kzdc8d
gene_symbol,Opn3
pvalue,0.8071017
mouse_strain,C57BL
parameter_name,Coat colouration
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_id,M-G-P_026_001_004
