parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
analysis_id,78s4ia633i75v6x
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
pvalue,0.462278
