gene_symbol,Mgst2
mouse_strain,C57BL
pvalue,0.1308927
parameter_id,IMPC_ABR_006_001
parameter_name,12kHz-evoked ABR Threshold
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
analysis_id,kkm119507534us7
