gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_id,MGP_MLN_010_001
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
pvalue,0.780688
mouse_strain,C57BL
analysis_id,1856yfm257515i3
